Region_Area_State,Year,Wind_speed,Rainfall_actual,Rainfall_normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,MSW,Atmosheric_Microplastics,Beach_Plastics,Summer,Spring,Winter,Covid_19,Plastic_Production
Andaman and Nicobar Islands,2020,26,1712.4,1653.8,170000,229000,0.00,0.39,35661,231.591,,31.46,27.8,24.19,1155753.69,387.9723
Andhra Pradesh,2020,29.1,1481.3,998.5,18343000,34256000,28.14,5.83,2422697,20841.100,5353.52,33.51,28.06,22.66,630997062.70,46472.92
Arunachal Pradesh,2020,14.7,1943.7,1726.6,381000,1141000,0.05,0.00,52543,883.412,,24.17,18.89,13.66,15741474.12,2748.0836
Assam,2020,13.9,2147.50,1773.70,5301000,29492000,3.37,0.00,1755396,36693.880,,27.96,23.33,18.75,159645509.10,25243.0705
Bihar,2020,23,1272.5,1017.2,14708000,107187000,5.95,0.00,1158359,70751.307,,30.97,25.18,19.44,144369420.90,41978.3428
Chandigarh,2020,21.5,379.8,444,1194000,4000,0.00,0.00,176204,695.353,,29.71,23.71,17.73,187833561.40,6825.7668
Chhattisgarh,2020,23.6,1234.3,1142.1,7680000,21557000,4.64,0.00,1035585,16969.982,,32,25.98,20.01,39453475.65,33288.3491
Dadra and Nagar Haveli and Daman and Diu,2020,25.2,2181.2,1430.10,357000,243000,0.00,0.22,25104,348.257,439.668,,,,2600899.40,1829.1079
Delhi,2020,19.2,379.8,444,20171000,148000,0.01,0.00,3999642,43435.450,,31.49,25.31,19.2,1603479425.00,234906.5935
Goa,2020,24.1,3662.7,2875.3,1132000,421000,0.05,1.13,74060,901.405,439.668,31.67,27.28,22.94,22108098.45,26236.9436
Gujarat,2020,23.9,2181.2,1430.10,32791000,36380000,1.39,7.29,3716433,27250.880,6676.99,33.97,27.44,20.95,19828696.35,413739.7812
Haryana,2020,21.4,379.8,444,11839000,17374000,1.72,0.00,1854064,80301.290,,31.46,25.09,18.77,895357122.00,149816.1329
Himachal Pradesh,2020,12.6,565.5,763.5,754000,6608000,0.13,0.00,130603,4273.113,,15.03,10.07,5.13,67646063.90,13770.9153
Jammu and Kashmir,2020,8.8,376.2,566,3983000,9357000,0.21,0.00,717457,7742.913,,,,,171406255.50,75408.57
Jharkhand,2020,21.6,899.2,1054.7,9802000,28313000,1.83,0.00,734050,31690.520,,30.54,24.69,18.88,11203734.75,43947.7177
Karnataka,2020,22.7,5242,4274.00,28681000,37815000,1.93,4.14,3569655,17841.970,1538.09,31.94,26.51,21.13,1449.98,298729.5481
Kerala,2020,20.8,2228.2,2049.3,24591000,10777000,1.95,5.11,1246825,41838.170,3132.82,31.09,27.01,22.98,1.96,132079.668
Lakshadweep,2020,30.3,1345.4,1013.1,65000,3000,0.00,0.22,12966,39.469,,31.36,28.3,25.31,938.93,46
Madhya Pradesh,2020,22.8,2002.5,1906.10,24037000,59718000,1.60,0.00,2632934,25097.240,,32.34,25.75,19.2,37475395.04,122752.7343
Maharashtra,2020,21.7,6347.3,5238.4,59121000,64555000,1.43,4.70,8645397,71785.050,3585.9,33.46,27.04,20.67,16194159.44,447863.1016
Manipur,2020,16,965.4,1426.70,997000,2145000,0.33,0.00,42172,1823.706,,24.28,19.7,15.17,31549450.98,8375.6367
Meghalaya,2020,11.2,2147.50,1773.70,671000,2593000,0.13,0.00,57122,10448.260,,25.84,21.66,17.54,14757178.40,5092.9306
Mizoram,2020,9,965.4,1426.70,657000,550000,0.08,0.00,75510,4516.950,,25.81,21.33,16.9,10545118.44,7988.4209
Nagaland,2020,8.5,965.4,1426.70,914000,1263000,0.09,0.00,107291,1263.592,,23.99,19.32,14.7,825538.35,570.7679
Odisha,2020,29.1,1140.9,1155.3,8342000,37123000,5.36,1.57,567390,61087.140,2620.12,31.23,25.86,20.53,512693788.40,45687.0901
Puducherry,2020,28.8,437,342,1081000,468000,0.07,0.47,165698,899.083,166.925,32.92,28.93,25.01,443437471.10,12016.7636
Punjab,2020,21.5,391.7,467.3,12331000,17848000,1.38,0.00,1654738,39604.450,,30.94,24.54,18.18,197441557.80,93634.634
Rajasthan,2020,24.9,922.7,868.20,20623000,57986000,0.66,0.00,2487220,25207.520,,33.15,26.08,19.06,500053072.60,52641.0135
Sikkim,2020,9.3,2628.8,1970.8,293000,379000,0.00,0.00,27558,390.048,,10.4,4.57,-1.23,15164504.46,69.7263
Tamil Nadu,2020,28.1,437,342,39985000,36182000,1.97,5.15,4174256,26288.260,4983.9,32.61,28.07,23.58,2052641233.00,433486.7084
Telangana,2020,26.3,1095.4,751.9,17135000,20401000,2.63,0.00,3069388,20691.700,,,,,345148512.30,235240.5675
Tripura,2020,18.3,965.4,1426.70,146600,3895400,0.75,0.00,154097,2346.091,,29.3,24.51,19.77,1238307.53,32.3198
Uttar Pradesh,2020,20.6,1240.1,1560.70,54127000,174804000,6.47,0.00,5929660,14066.310,,32.08,25.62,19.21,1734203876.00,163261.7717
Uttarakhand,2020,16.1,943.2,1176.9,3920000,7393000,0.05,0.00,473094,6566.385,,19.2,14.14,9.11,157701411.70,25493.6998
West Bengal,2020,29,3689.8,3152.30,34865000,62854000,15.92,1.77,4511576,25863.900,864.432,30.65,25.51,20.42,1349930289.00,302121.9627
Andaman and Nicobar Islands,2019,32.9,2331.3,1653.8,168000,230000,0.00,0.40,20075,537.463,,31.42,27.76,24.15,,387
Andhra Pradesh,2019,33.9,1100.5,998.5,17935000,34380000,36.10,5.64,2469590,56468.040,3636.9,33.82,28.37,22.97,,46222
Arunachal Pradesh,2019,12.8,1538.2,1726.6,374000,1133000,0.05,0.00,73365,2035.067,,24.32,19.01,13.73,,2721
Assam,2019,12,1567.9,1773.70,5202000,29216000,3.73,0.00,384710,53748.180,,28.1,23.44,18.83,,24971
Bihar,2019,23.3,1050.4,1017.2,14397000,105717000,6.41,0.00,1727910,162203.050,,31.23,25.37,19.57,,41365
Chandigarh,2019,19,258.6,444,1178000,6000,0.01,0.00,197465,1598.884,,29.43,23.56,17.74,,6746
Chhattisgarh,2019,23.2,1255.6,1142.1,7486000,21366000,5.72,0.00,602250,38962.006,,32.31,26.29,20.32,,32850
