States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
,,Number,kmph,mm,mm,Persons,Persons,Lakh Tonnes,Lakh Tonnes,TPA,TPA,Kg,,TPA
Andaman and Nicobar Islands,2020,0,26.5,1712.4,1653.8,170000,229000,0.00,0.39,0.00,35661,0,0,372.30
Andhra Pradesh,2020,1,27.1,1481.3,998.5,18343000,34256000,28.14,5.83,20.88,2422697,5353.52,0,25292.96
Arunachal Pradesh,2020,1,12.15,1943.7,1726.6,381000,1141000,0.05,0.00,0.00,52543,0,0,548.55
Assam,2020,1,13.05,2147.50,1773.70,5301000,29492000,3.37,0.00,0.00,1755396,0,0,18326.33
Bihar,2020,1,23.95,1272.5,1017.2,14708000,107187000,5.95,0.00,0.00,1158359,0,0,12093.27
Chandigarh,2020,0,21.5,379.8,444,1194000,4000,0.00,0.00,0.00,176204,0,0,1839.57
Chhattisgarh,2020,0,21.05,1234.3,1142.1,7680000,21557000,4.64,0.00,0.00,1035585,0,0,10811.50
Dadra and Nagar Haveli and Daman and Diu,2020,0,25.2,2181.2,1430.10,357000,243000,0.00,0.22,0.00,25104,439.668,0,262.09
Delhi,2020,0,19.2,379.8,444,20171000,148000,0.01,0.00,0.00,3999642,0,0,41756.26
Goa,2020,0,24.1,3662.7,2875.3,1132000,421000,0.05,1.13,230.37,74060,439.668,0,773.18
Gujarat,2020,1,24.7,2181.2,1430.10,32791000,36380000,1.39,7.29,286.46,3716433,6676.99,0,38799.56
Haryana,2020,0,21.4,379.8,444,11839000,17374000,1.72,0.00,0.00,1854064,0,0,19356.42
Himachal Pradesh,2020,0,12.6,565.5,763.5,754000,6608000,0.13,0.00,0.00,130603,0,1,1363.49
Jammu and Kashmir,2020,1,13.75,376.2,566,3983000,9357000,0.21,0.00,0.00,717457,0,0,7490.25
