Recycling_Plant,Number_of_staffs,Latitude,Longitude,Materials_Accepted,Recycled_Products,Materials_Processed(TPA),Capacity(TPA)
,,,,,,,
21 Century Polymers,10,28.79821,77.03685,"PET, PP, PC, PVC, HDPE, LDPE, LLDPE, ABS, HIPS, PMMA, PBT, SAN, TPE","Granules/Pellets, Flakes",,
,,,,,,,
A1 Impex,10,19.03272,72.98541,"PET, PP, PVC, HDPE, LDPE","Granules/Pellets, Flakes",,
,,,,,,,
Aashirwad Industries,,21.13753,79.08155,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Aayu International,100-150,23.11106,72.59138,HDPE,Flakes,,
,,,,,,,
ABS Polymer,,10.97005,76.95669,"PC, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Addonn Polycompounds Private Limited,50,,,"PP, PA, PC, PVC, ABS, POM, PBT, SAN",Granules/Pellets,"4,000","6,000"
,,,,,,,
Adinath Polymers,10,28.79821,77.03685,ABS,Granules/Pellets,,
,,,,,,,
AGL Polyfil Private Limited,,,,PET,Flakes,,"26,250"
,,,,,,,
Al Mehtab Industries Pvt. Ltd,,28.5144,77.29818,PET,"Granules/Pellets, Flakes",,"26,000"
,,,,,,,
Allied Containers,,,,"PP, PC, HDPE, LDPE, LLDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Amaani Polyflakes,55,22.82587,70.848,PET,Flakes,,
,,,,,,,
Aman Industries,,26.4679,80.32041,Waste Plastic,Granules/Pellets,,
,,,,,,,
Archieve Eco Tech Private Limited,,13.03099,80.16207,PET,Flakes,,
,,,,,,,
Ariston Ventures,,,,PET,Flakes,,
,,,,,,,
Arun Manufacturing Services Private Limited,,27.8887,76.28325,LLDPE,Granules/Pellets,,
,,,,,,,
Asha International,10,29.39128,76.97717,"PET, PP, HDPE, LDPE","Granules/Pellets, Flakes",,
,,,,,,,
Avadh PET Flakes Pvt. Ltd.,,26.74299,82.1405,PET,Flakes,,
,,,,,,,
Avani industries,,20.61217,72.92868,"PP, HDPE, LDPE","Granules/Pellets, Flakes",,
,,,,,,,
AVS Cables & Compound Industries,30,28.79821,77.03685,PVC,Granules/Pellets,,
,,,,,,,
B R Plastic Industries Private Limited,20,28.79807,76.149,"HDPE, LLDPE",Granules/Pellets,,"2,400"
,,,,,,,
Balaji Trading Co.,25,29.87465,77.88516,"PET, HDPE",Flakes,,
,,,,,,,
Banyan Nation,,17.4423,78.35317,Waste Plastic,Granules/Pellets,,
,,,,,,,
Bhagul Industries,,,,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Bharat Industries,,18.24529,76.48196,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Bharat Polymer Extrusions,10,20.01254,73.72982,Waste Plastic,Granules/Pellets,,
,,,,,,,
BM Enterprises,10,,,"ABS, HIPS","Granules/Pellets, Flakes",,
,,,,,,,
Cash Against Trash LLP,,19.20443,73.00604,Waste Plastic,Flakes,,
,,,,,,,
Choudhary Plastics,,10.95504,76.97393,"PP, PC, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Crescent Polymers,10,28.79821,77.03685,"PS, PC, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Dalmia Polypro Industries Private Limited,200,19.05861,72.82981,"PET, PP, PE","Granules/Pellets, Flakes",,
,,,,,,,
Dhwani Plastic,12,22.81029,70.8313,"PP, ABS, HIPS",Granules/Pellets,,
,,,,,,,
DM Polyplex,10,22.72239,75.807,Waste Plastic,Granules/Pellets,,
,,,,,,,
DSA Imports,10,13.07867,80.22767,"PP, HDPE, LDPE, LLDPE","Granules/Pellets, Flakes",,
,,,,,,,
Eco Polymers,,22.95607,72.63499,LLDPE,"Granules/Pellets, Flakes",,
,,,,,,,
Ecoplasta Enterprise,,26.17989,91.74898,PET,Flakes,,
,,,,,,,
